player_name,week,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
E.Mitchell,11,0,0,0,0,0,75,281,2,6,8,14,0,41.5,47.5
E.Moore,16,0,0,0,0,0,9,11,0,59,104,640,2,73.1,132.1
E.Saubert,3,0,0,0,0,0,0,0,0,3,3,12,0,1.2,4.2
E.St. Brown,5,0,0,0,0,0,0,0,0,5,6,62,0,6.2,11.2
E.Stick,5,111,174,1129,3,1,27,144,1,0,0,0,0,67.56,67.56
E.Turner,1,0,0,0,0,0,1,2,0,0,0,0,0,0.2,0.2
E.Wilson,5,0,0,0,0,0,14,85,0,4,5,23,0,10.8,14.8
F.Moreau,11,0,0,0,0,0,0,0,0,21,25,193,1,25.3,46.3
G.Brightwell,3,0,0,0,0,0,9,19,0,5,7,47,0,6.6,11.6
G.Calcaterra,2,0,0,0,0,0,0,0,0,4,4,39,0,3.9000000000000004,7.8999999999999995
G.Davis,16,0,0,0,0,0,1,-2,0,45,81,746,7,116.39999999999999,161.4
G.Dortch,9,0,0,0,0,0,1,5,0,24,41,280,2,40.5,64.5
G.Dulcich,2,0,0,0,0,0,0,0,0,3,4,25,0,2.5,5.5
G.Edwards,17,0,0,0,0,0,198,810,13,12,13,180,0,175.0,187.0
G.Everett,15,0,0,0,0,0,3,10,0,51,70,411,3,60.1,111.10000000000001
G.Kittle,16,0,0,0,0,0,1,2,0,65,90,1020,6,138.2,203.20000000000002
G.Minshew,16,305,490,3305,15,9,34,100,3,0,0,0,0,196.20000000000002,196.20000000000002
G.Olszewski,2,0,0,0,0,0,0,0,0,1,1,0,0,4.0,5.0
G.Pickens,17,0,0,0,0,0,3,18,0,63,106,1140,5,145.8,208.8
G.Ricci,1,0,0,0,0,0,0,0,0,1,1,2,0,0.2,1.2
G.Smith,15,323,499,3624,20,9,37,155,1,1,1,-2,0,226.26,227.26
G.Stuard,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0
G.Swaim,7,0,0,0,0,0,0,0,0,10,11,94,0,9.4,19.4
G.Wilson,17,0,1,0,0,0,4,0,0,95,168,1042,3,118.2,213.2
H.Bryant,13,0,0,0,0,0,5,8,0,13,20,81,3,24.9,37.9
H.Henry,13,0,0,0,0,0,0,0,0,42,61,419,6,77.9,119.9
H.Hurst,9,0,0,0,0,0,0,0,0,18,32,184,1,24.4,42.4
H.Luepke,6,0,0,0,0,0,6,19,1,3,4,18,0,9.7,12.7
H.Renfrow,13,0,0,0,0,0,0,0,0,25,37,255,0,23.5,48.5
I.Abanikanda,6,0,0,0,0,0,22,70,0,7,11,43,0,11.3,18.3
I.Charles,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
I.Hodgins,14,0,0,0,0,0,0,0,0,21,33,230,3,39.0,60.0
I.Likely,13,0,0,0,0,0,0,0,0,30,40,411,5,71.1,101.1
I.McKenzie,9,0,0,0,0,0,3,14,0,11,14,82,0,9.6,20.6
I.Pacheco,14,0,0,0,0,0,205,935,7,44,49,244,2,169.9,213.9
I.Smith,9,0,0,0,0,0,0,0,0,18,26,115,1,15.5,33.5
I.Smith-Marsette,7,0,0,0,0,0,8,74,1,8,10,51,0,24.5,32.5
I.Spiller,9,0,0,0,0,0,37,96,0,6,6,34,0,13.0,19.0
I.Thomas,7,0,0,0,0,0,0,0,0,5,9,56,0,5.6,10.6
J.Addison,17,0,0,0,0,0,1,2,0,70,108,911,10,151.3,221.3
J.Agnew,8,0,0,0,0,0,4,-2,0,14,21,225,1,26.3,40.3
J.Akins,13,0,0,0,0,0,0,0,0,15,23,132,0,13.2,28.2
J.Allen,17,385,579,4306,29,18,111,524,15,0,0,0,0,394.64,394.64
