player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
MarShawn Lloyd,RB,GB,86,7.105882353,10,163.6
Tyrone Tracy Jr.,RB,NYG,85,7.594117647,11,203.6
Ty Chandler,RB,MIN,82,7.441176471,6,161.8
Antonio Gibson,RB,NE,82,9.247058824,14,170.4
Ezekiel Elliott,RB,DAL,82,7.752941176,7,108.4
Jaylen Wright,RB,MIA,81,7.252941176,6,170.8
Chuba Hubbard,RB,CAR,79,7.435294118,11,150.8
Clyde Edwards-Helaire,RB,KC,77,7.611764706,6,218
Jaleel McLaughlin,RB,DEN,77,7.352941176,14,174.4
Kendre Miller,RB,NO,76,6.647058824,12,178.4
Braelon Allen,RB,NYJ,75,6.511764706,12,215
Bucky Irving,RB,TB,75,7.358823529,11,207
Khalil Herbert,RB,CHI,73,6.929411765,7,199
Keaton Mitchell,RB,BAL,72,6.047058824,14,225.8
Ray Davis,RB,BUF,71,6.829411765,12,215.5
Kenneth Gainwell,RB,PHI,71,7.423529412,5,236.3
Elijah Mitchell,RB,SF,65,5.464705882,9,190.2
Zach Charbonnet,RB,SEA,64,7.029411765,10,132.2
Samaje Perine,RB,DEN,58,7,14,280
Roschon Johnson,RB,CHI,58,6.547058824,7,216.3
Justice Hill,RB,BAL,57,5.723529412,14,254.3
Miles Sanders,RB,CAR,56,6.552941176,11,252
Alexander Mattison,RB,LV,54,5.547058824,10,225.8
Jamaal Williams,RB,NO,48,4.847058824,12,253.3
Audric Estime,RB,DEN,46,4.217647059,14,229.5
AJ Dillon,RB,GB,43,4.605882353,10,235.3
Andrew Beck,RB,HOU,43,5.111764706,14,463
Chase Edmonds,RB,TB,42,4.664705882,11,462
Tank Bigsby,RB,JAC,36,4.058823529,12,271
Emari Demercado,RB,ARI,31,4.035294118,11,443
Kyle Juszczyk,RB,SF,31,3.888235294,9,268.5
Dameon Pierce,RB,HOU,29,3.347058824,14,206.3
Hunter Luepke,RB,DAL,27,2.476470588,7,839
Trey Sermon,RB,IND,25,2.135294118,14,301
Rasheen Ali,RB,BAL,23,2.029411765,14,376
Ronnie Rivers,RB,LAR,21,2.411764706,6,653
Ameer Abdullah,RB,LV,20,3.064705882,10,404
Deuce Vaughn,RB,DAL,19,2.576470588,7,326
Jordan Mason,RB,SF,19,1.752941176,9,304
Will Shipley,RB,PHI,19,1.829411765,5,246.3
Nyheim Hines,RB,CLE,14,2.270588235,10,463
Jase McClellan,RB,ATL,13,1.511764706,12,690
Zander Horvath,RB,NO,13,1.029411765,12,810
Jeff Wilson,RB,MIA,13,1.505882353,6,385.5
Isaiah Spiller,RB,LAC,13,1.576470588,5,642
Isaac Guerendo,RB,SF,13,1.488235294,9,318.7
Cody Schrader,RB,SF,13,1.488235294,9,718
Craig Reynolds,RB,DET,13,1.417647059,5,331
Tyler Goodson,RB,IND,12,1.505882353,14,485
JaMycal Hasty,RB,NE,12,1.905882353,14,599
Emani Bailey,RB,KC,12,1.458823529,6,869
Travis Kelce,TE,KC,153,15.77058824,6,23.4
Mark Andrews,TE,BAL,144,12.75882353,14,43.6
Sam LaPorta,TE,DET,135,13.44117647,5,26.2
George Kittle,TE,SF,125,11.45294118,9,59
David Njoku,TE,CLE,116,12.02352941,10,82.4
Trey McBride,TE,ARI,111,11.94117647,11,46.6
Kyle Pitts,TE,ATL,110,10.7,12,61.2
Jake Ferguson,TE,DAL,109,11.13529412,7,87.6
Dalton Kincaid,TE,BUF,109,12.14705882,12,52.2
Dallas Goedert,TE,PHI,102,10.37647059,5,112.4
Evan Engram,TE,JAC,101,12.09411765,12,65.6
Isaiah Likely,TE,BAL,95,8.358823529,14,190.2
Cole Kmet,TE,CHI,91,9.494117647,7,138.2
Dalton Schultz,TE,HOU,90,9.505882353,14,129.2
Pat Freiermuth,TE,PIT,89,8.988235294,9,136.8
Brock Bowers,TE,LV,89,9.776470588,10,102.4
T.J. Hockenson,TE,MIN,86,9.864705882,6,116.2
Hunter Henry,TE,NE,80,7.835294118,14,194
Luke Musgrave,TE,GB,76,8.376470588,10,171.8
Juwan Johnson,TE,NO,71,7.2,12,261
Tyler Conklin,TE,NYJ,70,8.117647059,12,204.8
Chigoziem Okonkwo,TE,TEN,67,7.552941176,5,207
Jonnu Smith,TE,MIA,66,7.264705882,6,248
Cade Otton,TE,TB,63,7.276470588,11,216.5
Ben Sinnott,TE,WAS,63,7.288235294,14,220.8
Mike Gesicki,TE,CIN,63,6.711764706,12,235.2
Tyler Higbee,TE,LAR,62,7.076470588,6,353.7
Brevin Jordan,TE,HOU,62,5.652941176,14,324
Noah Fant,TE,SEA,59,6.6,10,231.3
Gerald Everett,TE,CHI,57,6.670588235,7,273.5
Michael Mayer,TE,LV,53,5.876470588,10,230.5
Dawson Knox,TE,BUF,52,5.447058824,12,220.7
Donald Parham Jr.,TE,LAC,51,5.141176471,5,469
Greg Dulcich,TE,DEN,50,5.541176471,14,260
Hayden Hurst,TE,LAC,48,5.517647059,5,277
Tucker Kraft,TE,GB,47,5.235294118,10,257.5
Tommy Tremble,TE,CAR,45,4.617647059,11,609
Mo Alie-Cox,TE,IND,43,3.917647059,14,405.5
Durham Smythe,TE,MIA,42,5.211764706,6,292
Elijah Higgins,TE,ARI,41,4.717647059,11,469.5
Kylen Granson,TE,IND,41,4.470588235,14,488
Theo Johnson,TE,NYG,39,5.3,11,303.7
Ja'Tavion Sanders,TE,CAR,37,5.141176471,11,256
Zach Ertz,TE,WAS,36,4.417647059,14,244.5
Brock Wright,TE,DET,34,4.064705882,5,349.5
Adam Trautman,TE,DEN,33,3.9,14,595
Noah Gray,TE,KC,33,4.1,6,265
Johnny Mundt,TE,MIN,30,3.817647059,6,410
Josh Oliver,TE,MIN,28,3.917647059,6,473
Daniel Bellinger,TE,NYG,28,3.970588235,11,354.7
Jelani Woods,TE,IND,28,3.117647059,14,274
Teagan Quitoriano,TE,HOU,22,2.405882353,14,631
Colby Parkinson,TE,LAR,22,2.7,6,265.5
