player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Troy Franklin,26693436,,WR,DEN,84,158,14,198.8
Dontayvion Wicks,3122375,,WR,GB,84,133.9,10,186
Odell Beckham Jr.,1824823,11679,WR,MIA,80,139.7,6,210
Demarcus Robinson,2061095,12785,WR,LAR,79,134.8,6,251.7
Rashod Bateman,2960940,15293,WR,BAL,79,135.3,14,219
Jermaine Burton,3163951,,WR,CIN,78,139.3,12,208.5
Josh Reynolds,2131796,13168,WR,DEN,77,129.5,14,313.5
Quentin Johnston,3162609,,WR,LAC,76,132,5,198.3
Roman Wilson,3169495,,WR,PIT,71,132.2,9,192.5
Xavier Legette,3131575,,WR,CAR,71,130.4,11,165.2
Darnell Mooney,2240651,14974,WR,ATL,70,118.7,12,195.6
Elijah Moore,2963569,15288,WR,CLE,69,134.9,10,296.5
Zay Jones,2080270,13176,WR,ARI,68,132.4,11,290
Brandon Johnson,2247509,15987,WR,DEN,66,99.4,14,500
KaVontae Turpin,2180870,15981,WR,DAL,66,111.7,7,310
Cedrick Wilson Jr.,2240685,13652,WR,NO,65,108.1,12,465
Greg Dortch,2223207,14108,WR,ARI,64,119.7,11,272
Jalen McMillan,3162347,,WR,TB,60,115,11,288
Trenton Irwin,3117052,14551,WR,CIN,57,103,12,374
Alec Pierce,2965664,15768,WR,IND,57,95.8,14,374.5
Ja'Lynn Polk,3162664,,WR,NE,56,110.8,14,201
Jalin Hyatt,3171911,,WR,NYG,56,95.9,11,268.3
Tyler Boyd,2071582,12650,WR,TEN,56,107.5,5,247
Ricky Pearsall,3122949,,WR,SF,55,103.7,9,191.6
Josh Downs,3162970,,WR,IND,55,107.7,14,184
Jonathan Mingo,3126905,,WR,CAR,53,109.5,11,344
Jalen Nailor,2967232,15786,WR,MIN,53,97.4,6,550
Parris Campbell,2139271,14112,WR,PHI,51,103.5,5,318.5
Trey Palmer,3122273,,WR,TB,49,96.6,11,370
Christian McCaffrey,2136743,13130,RB,SF,275,371.6,9,1
Saquon Barkley,2185957,13604,RB,PHI,262,339.3,5,10.4
Breece Hall,3123469,15708,RB,NYJ,242,340.3,12,5.2
Bijan Robinson,3168163,,RB,ATL,233,330.5,12,6
Jonathan Taylor,2866395,14802,RB,IND,232,286.1,14,11.2
Kyren Williams,3121836,15710,RB,LAR,215,273.1,6,16
Derrick Henry,2061188,12626,RB,BAL,206,252.7,14,18.8
Josh Jacobs,2257876,14073,RB,GB,194,249.8,10,30.4
Joe Mixon,2131143,13131,RB,HOU,189,252.1,14,41
