player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Juwan Johnson,2186637,14861,TE,NO,71,7.2,12,261
Tyler Conklin,2165249,13675,TE,NYJ,70,8.117647059,12,204.8
Chigoziem Okonkwo,2965208,15889,TE,TEN,67,7.552941176,5,207
Jonnu Smith,2081506,13193,TE,MIA,66,7.264705882,6,248
Cade Otton,2815179,15802,TE,TB,63,7.276470588,11,216.5
Ben Sinnott,3168647,,TE,WAS,63,7.288235294,14,220.8
Mike Gesicki,2139298,13672,TE,CIN,63,6.711764706,12,235.2
Tyler Higbee,1853103,12678,TE,LAR,62,7.076470588,6,353.7
Brevin Jordan,2964787,15330,TE,HOU,62,5.652941176,14,324
Noah Fant,2251095,14137,TE,SEA,59,6.6,10,231.3
Gerald Everett,2142692,13236,TE,CHI,57,6.670588235,7,273.5
Michael Mayer,3171673,,TE,LV,53,5.876470588,10,230.5
Dawson Knox,2186345,14143,TE,BUF,52,5.447058824,12,220.7
Donald Parham Jr.,2183713,14341,TE,LAC,51,5.141176471,5,469
Greg Dulcich,2964274,15797,TE,DEN,50,5.541176471,14,260
Hayden Hurst,2185053,13680,TE,LAC,48,5.517647059,5,277
Tucker Kraft,3133332,,TE,GB,47,5.235294118,10,257.5
Tommy Tremble,2969027,15332,TE,CAR,45,4.617647059,11,609
Mo Alie-Cox,2815925,13246,TE,IND,43,3.917647059,14,405.5
Durham Smythe,2082845,13676,TE,MIA,42,5.211764706,6,292
Elijah Higgins,3122914,,TE,ARI,41,4.717647059,11,469.5
Kylen Granson,2247146,15419,TE,IND,41,4.470588235,14,488
Theo Johnson,3162129,,TE,NYG,39,5.3,11,303.7
Ja'Tavion Sanders,26731381,,TE,CAR,37,5.141176471,11,256
Zach Ertz,1685963,11247,TE,WAS,36,4.417647059,14,244.5
Brock Wright,2807423,15626,TE,DET,34,4.064705882,5,349.5
Adam Trautman,2182228,14870,TE,DEN,33,3.9,14,595
Noah Gray,2866903,15337,TE,KC,33,4.1,6,265
Johnny Mundt,2818622,13940,TE,MIN,30,3.817647059,6,410
Josh Oliver,2184618,14209,TE,MIN,28,3.917647059,6,473
Daniel Bellinger,2963615,15873,TE,NYG,28,3.970588235,11,354.7
Jelani Woods,2787078,15840,TE,IND,28,3.117647059,14,274
Teagan Quitoriano,2965963,15905,TE,HOU,22,2.405882353,14,631
Colby Parkinson,2867522,14871,TE,LAR,22,2.7,6,265.5
Ian Thomas,2253359,13678,TE,CAR,19,2.823529412,11,561
Connor Heyward,2867599,15800,TE,PIT,19,2.964705882,9,331.5
Quintin Morris,2864581,15341,TE,BUF,17,2.052941176,12,556
MyCole Pruitt,1760327,12309,TE,PIT,16,1.835294118,9,539
Brenton Strange,3121696,,TE,JAC,16,2.005882353,12,827
Ben Sims,2964709,,TE,GB,16,1.9,10,467
C.J. Uzomah,2174118,12317,TE,PHI,15,1.552941176,5,364
Austin Hooper,2067004,12677,TE,NE,13,2.276470588,14,406
Stone Smartt,2864800,,TE,LAC,13,1.988235294,5,654
Armani Rogers,2258253,15990,TE,PHI,13,1.782352941,5,348
Will Dissly,2139628,13763,TE,LAC,13,2.223529412,5,416
Payne Durham,2968469,,TE,TB,12,1.858823529,11,512
John Bates,2257291,15344,TE,WAS,12,2.147058824,14,622
Pharaoh Brown,2819155,13994,TE,SEA,12,1.894117647,10,411.5
James Mitchell,2963242,15909,TE,DET,11,1.788235294,5,448.5
Robert Tonyan,2820026,13427,TE,MIN,11,1.764705882,6,735
Foster Moreau,2180634,14239,TE,NO,11,1.717647059,12,468
Brayden Willis,2963088,,TE,SF,11,1.652941176,9,832
Cameron Latu,2964535,,TE,SF,11,1.652941176,9,497.5
Ross Dwelley,2924888,13988,TE,ATL,11,1.570588235,12,492
Tanner McLachlan,2980252,,TE,CIN,11,1.847058824,12,692
Jared Wiley,3123819,,TE,KC,11,1.876470588,6,448
Cade Stover,3125978,,TE,HOU,11,1.705882353,14,320.5
Jeremy Ruckert,2965446,15796,TE,NYJ,10,1.670588235,12,482
Josiah Deguara,2181108,14876,TE,JAC,10,1.617647059,12,586
Jaheim Bell,3169583,,TE,NE,10,1.476470588,14,525
Lucas Krull,2961761,15970,TE,DEN,10,1.494117647,14,501
Devin Culp,2967413,,TE,TB,10,1.670588235,11,700
Albert Okwuegbunam,2245117,14873,TE,PHI,10,1.629411765,5,466
Peyton Hendershot,2867545,16000,TE,DAL,10,1.658823529,7,465
Hunter Long,2867428,15334,TE,LAR,10,1.417647059,6,615
Grant Calcaterra,2804129,15804,TE,PHI,10,1.688235294,5,504.5
Will Mallory,2962073,,TE,IND,10,1.623529412,14,393
Drew Sample,2139646,14146,TE,CIN,10,1.705882353,12,553
Eric Saubert,2001018,13315,TE,SF,10,1.523529412,9,732
Travis Vokolek,2870478,,TE,ARI,10,1.6,11,514
Tanner Hudson,2926606,14370,TE,CIN,10,1.788235294,12,374
John FitzPatrick,2975736,15925,TE,ATL,10,1.635294118,12,493
Tip Reiman,3169268,,TE,ARI,10,1.6,11,527
Cole Fotheringham,2240503,,TE,LV,10,1.529411765,10,650
Younghoe Koo,2820093,13403,K,ATL,171,10.05882353,12,143
Harrison Butker,2078888,13354,K,KC,151,8.882352941,6,120.8
Justin Tucker,1985374,10976,K,BAL,147,8.647058824,14,110.4
Jason Myers,2169640,12437,K,SEA,147,8.647058824,10,213.4
Jake Elliott,2080295,13303,K,PHI,146,8.588235294,5,145
Brandon Aubrey,2815718,,K,DAL,145,8.529411765,7,115
Ka'imi Fairbairn,1996562,12860,K,HOU,145,8.529411765,14,154.8
Blake Grupe,2876348,,K,NO,142,8.352941176,12,231.3
Evan McPherson,2962681,15368,K,CIN,139,8.176470588,12,160.4
Jason Sanders,2131909,13832,K,MIA,138,8.117647059,6,192
Cameron Dicker,2961997,15979,K,LAC,138,8.117647059,5,183.2
Matt Gay,2870511,14244,K,IND,137,8.058823529,14,198
Tyler Bass,2188356,14983,K,BUF,136,8,12,186.8
Jake Moody,2968527,,K,SF,136,8,9,167.6
Cam Little,26702477,,K,JAC,135,7.941176471,12,265
Greg Zuerlein,1971893,10868,K,NYJ,135,7.941176471,12,183.3
Cairo Santos,2132690,11945,K,CHI,133,7.823529412,7,207.3
Chase McLaughlin,2165272,14717,K,TB,131,7.705882353,11,263
Dustin Hopkins,1664151,11387,K,CLE,130,7.647058824,10,168
Joshua Karty,3163734,,K,LAR,130,7.647058824,6,266.3
Matt Prater,1109832,8930,K,ARI,125,7.352941176,11,228.5
Jake Bates,3173439,,K,DET,122,7.176470588,5,203
Wil Lutz,2008545,12956,K,DEN,120,7.058823529,14,254
Chris Boswell,1724930,11936,K,PIT,114,6.705882353,9,186.5
Will Reichard,3121084,,K,MIN,111,6.529411765,6,229
Daniel Carlson,2079862,13718,K,LV,110,6.470588235,10,196.3
Nick Folk,410721,8851,K,TEN,106,6.235294118,5,252.5
Eddy Pineiro,2221833,13719,K,CAR,103,6.058823529,11,291
Graham Gano,558839,9694,K,NYG,95,5.588235294,11,230
Chad Ryland,2964074,,K,NE,85,5,14,288
Greg Joseph,2926810,13898,K,GB,78,4.588235294,10,302
Riley Patterson,2865368,15369,K,WAS,60,3.529411765,14,376
Anders Carlson,2866578,,K,GB,50,2.941176471,10,240
BAL,1903,531,DST,BAL,238.3,14.01764706,11,81
NYJ,1919,505,DST,NYJ,238,14,12,101
KC,1914,512,DST,KC,224.6,13.21176471,14,140
SF,1925,530,DST,SF,218.8,12.87058824,12,72
DAL,1908,516,DST,DAL,209.7,12.33529412,11,84
CLE,1930,507,DST,CLE,199.3,11.72352941,7,69
MIA,1915,503,DST,MIA,198.2,11.65882353,12,141
PHI,1921,518,DST,PHI,195.4,11.49411765,10,175
TB,1927,525,DST,TB,186.9,10.99411765,7,229
MIN,1916,524,DST,MIN,177.6,10.44705882,14,212
ATL,1902,526,DST,ATL,177.5,10.44117647,5,241
NE,1931,504,DST,NE,174.3,10.25294118,10,208
IND,1912,502,DST,IND,173.9,10.22941176,14,226
